crop_px,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,mAP
180,nan,0.5902679025892927,0.7037298042207725,0.551062169026266,0.467493989504726,0.3306032741227864,0.6804607654960233,0.6397554545550451,0.7451471743477134,0.36997756167874335,0.610057288257792,0.5503868976210411,0.6964885326718059,0.7091856442272267,0.6786455134161762,0.5844389194628681,0.2886161768723844,0.5782316910195566,0.5717845654218424,0.6172229649235796,0.6201039617352662,0.5791830125585453
190,nan,0.5947048128352411,0.7122390883648599,0.5553899365118911,0.4999586579124792,0.3265105448560893,0.6912315662769328,0.6563268333024448,0.7428462199146633,0.38602242375151274,0.5938565066600989,0.5792559438924942,0.7030597605317714,0.7041169207632931,0.6831207113562192,0.5907413743088421,0.30351464920716875,0.5735252708470436,0.5825764989119068,0.619355902269747,0.6213041741369143,0.5859828898305809
200,nan,0.598529705825901,0.722827521458983,0.5651765572636889,0.5006247236225785,0.3428335788458755,0.7204555188095443,0.6625667310087477,0.73871537546174,0.38755085657960175,0.6349180160151568,0.553136615107436,0.6977890019230031,0.7077134462747595,0.6860349044427081,0.6011754486455008,0.311873977485512,0.5797511630525753,0.5980921564937484,0.6304827660967829,0.6270201214840525,0.5933634092948948
20,nan,0.07895318111659216,0.09802287887412006,0.05180470030483529,0.044291017139213955,0.006888412801608004,0.12432016947153599,0.10233505844798735,0.24569722635398422,0.00799190914689703,0.07848288133734597,0.04777499139517371,0.17117888356551253,0.08514762475849735,0.11887248936391495,0.054637796469688325,0.017490336884799233,0.014754749463607884,0.08382658279544689,0.17196466523620133,0.012894087312560889,0.08086648211197615
30,nan,0.13280184250704505,0.1276741899165443,0.10386285953511973,0.08405801315398997,0.018158225322288803,0.19003264441400394,0.15678345639697325,0.34467610797563886,0.009825552858163476,0.10804843295397075,0.05762136186048305,0.24177654677265314,0.10656387503729363,0.1739397818614041,0.08291018682407289,0.028471421244713174,0.018981111750997197,0.10998753795333752,0.236824991167642,0.024086203152446195,0.11785421713293906
40,nan,0.2681221612871637,0.17384215798879202,0.14277218629376837,0.11335596601038436,0.04209835816868027,0.3264901366197852,0.209996951924289,0.4301552389910823,0.014544726714465165,0.12153944643468054,0.07760774078835019,0.30089709431176626,0.1702929374101595,0.24054426749072513,0.11510801730942426,0.03502683416588703,0.03460320065253285,0.191135221714416,0.2788956778571627,0.03207236864465676,0.16595503453890864
50,nan,0.3424755490867924,0.22913927107976323,0.18187328024189894,0.15988720373463405,0.035694144032007054,0.3766439734228329,0.24136144595127684,0.4947626340181661,0.02416736758159519,0.1436841548136708,0.12220244259192659,0.3847504451011985,0.2721965935166874,0.2940039933184369,0.15340821746712732,0.04061823140870174,0.06236869922699513,0.27430668855869716,0.3276157941747005,0.04207009855019731,0.2101615113938653
60,nan,0.3862926097607685,0.2522317231232899,0.21774249166411033,0.21657957710063647,0.05353747022335356,0.3748604320175309,0.2744367203422601,0.5538358681374275,0.03792120638989662,0.17158809573681194,0.13483361319522408,0.4402783097228533,0.33150659394413806,0.33180673731414545,0.18059905821450584,0.050104506049083966,0.07269799140219146,0.26439604065681965,0.3673151500755989,0.06948915895285512,0.23910266770117503
70,nan,0.37312255939155087,0.28706932696690385,0.2848026830970158,0.22792717686794398,0.05758339225249374,0.4156835439179409,0.3107454416465996,0.6082568709424969,0.05136488928808107,0.20520040585326596,0.19635195525882604,0.5016357486567362,0.40832737555017184,0.3784881903311952,0.22189979485057196,0.06252012869833264,0.12688969562869395,0.336124971569308,0.41717996049158573,0.11110141428781518,0.27911377627737644
80,nan,0.3969657331698337,0.3494578781911092,0.3377589580113478,0.29210661513869296,0.07302879318260116,0.4650326826665333,0.3511280098759155,0.6278187332304827,0.07203997672476609,0.23371146049393496,0.21622909328061374,0.5240412508012812,0.4862049937315696,0.40517653767691053,0.2691938563033939,0.09325010587286545,0.15821380025758344,0.35838290360014824,0.4298375869451434,0.19819657503806837,0.3168887772096397
